Date,Time,Indoor Temp,Outdoor Temp,Brightness,Indoor Humidity,Outdoor Humidity,Presure,Noise Level,Online For
2025-02-01,10:10:45,21.80,8.00,116,37.40,74.00,1026.38,43,43
2025-02-01,10:20:47,19.80,9.50,128,39.40,67.00,1026.32,52,641
2025-02-01,10:30:46,19.30,9.00,118,38.70,66.70,1026.42,49,1239
2025-02-01,10:40:46,19.40,8.70,132,39.60,66.20,1026.51,48,1837
2025-02-01,10:50:47,19.80,8.50,126,40.60,67.90,1026.45,59,2435
2025-02-01,11:00:48,19.90,9.20,128,41.20,65.40,1026.43,39,3034
2025-02-01,11:10:48,20.00,9.20,126,41.20,65.10,1026.41,62,3632
2025-02-01,11:20:49,19.90,8.80,126,41.10,66.00,1026.30,49,4230
2025-02-01,11:30:49,19.40,8.50,136,41.30,66.50,1026.38,48,4828
2025-02-01,11:40:48,19.00,9.40,138,40.50,65.00,1026.15,49,5426
2025-02-01,11:50:49,18.40,9.40,138,38.90,64.40,1026.11,52,6024
2025-02-01,12:00:49,19.00,9.10,130,39.90,64.40,1025.91,46,6623
2025-02-01,12:10:49,19.70,9.60,116,41.30,63.00,1025.80,48,7221
2025-02-01,12:20:49,19.70,8.80,136,40.70,64.50,1025.61,44,7819
2025-02-01,12:30:50,19.90,8.80,118,40.80,64.50,1025.51,54,8417
2025-02-01,12:40:49,19.60,9.50,134,40.80,63.00,1025.58,56,9015
2025-02-01,12:50:49,19.50,9.80,124,41.10,61.80,1025.47,51,9613
2025-02-01,13:00:50,19.60,9.50,138,41.10,61.90,1025.40,56,10211
2025-02-01,13:10:51,19.50,10.00,126,40.60,60.60,1025.46,60,10810
2025-02-01,13:20:50,19.50,10.00,122,40.80,60.30,1025.42,49,11408
2025-02-01,16:15:16,21.50,10.20,112,37.80,54.30,1024.49,46,21830
2025-02-01,16:51:14,24.90,8.00,92,32.70,64.40,1024.24,156,48
2025-02-01,17:01:15,22.30,10.80,122,33.20,54.30,1024.47,183,646
2025-02-01,17:11:15,22.40,10.80,126,35.10,53.70,1024.45,132,1244
2025-02-01,17:21:15,21.40,10.80,78,33.90,52.90,1024.55,137,1842
2025-02-01,17:31:17,21.20,10.70,78,34.80,52.70,1024.39,156,2440
2025-02-01,17:41:16,21.20,10.70,108,34.70,52.70,1024.45,390,3039
